House Member,District,Party,Office Address,City,Phone Number,Email
Patty Acomb,44B,DFL,431 State Office Building,"St. Paul, MN 55155",651-296-9934,E-mail:  rep.patty.acomb@house.mn
Tony Albright,55B,R,259 State Office Building,"St. Paul, MN 55155",651-296-5185,E-mail:  rep.tony.albright@house.mn
Paul Anderson,12B,R,309 State Office Building,"St. Paul, MN 55155",651-296-4317,E-mail:  rep.paul.anderson@house.mn
Jeff Backer,12A,R,203 State Office Building,"St. Paul, MN 55155",651-296-4929,E-mail:  rep.jeff.backer@house.mn
Kristin Bahner,34B,DFL,525 State Office Building,"St. Paul, MN 55155",651-296-5502,E-mail:  rep.kristin.bahner@house.mn
Cal Bahr,31B,R,321 State Office Building,"St. Paul, MN 55155",651-296-2439,E-mail:  rep.cal.bahr@house.mn
Dave Baker,17B,R,387 State Office Building,"St. Paul, MN 55155",651-296-6206,E-mail:  rep.dave.baker@house.mn
Jamie Becker-Finn,42B,DFL,559 State Office Building,"St. Paul, MN 55155",651-296-7153,E-mail:  rep.jamie.becker-finn@house.mn
Peggy Bennett,27A,R,307 State Office Building,"St. Paul, MN 55155",651-296-8216,E-mail:  rep.peggy.bennett@house.mn
Connie Bernardy,41A,DFL,369 State Office Building,"St. Paul, MN 55155",651-296-5510,E-mail:  rep.connie.bernardy@house.mn
Robert Bierman,57A,DFL,579 State Office Building,"St. Paul, MN 55155",651-296-5506,E-mail:  rep.robert.bierman@house.mn
Greg Boe,47B,R,313 State Office Building,"St. Paul, MN 55155",651-296-5066,E-mail:  rep.greg.boe@house.mn
Jeff Brand,19A,DFL,501 State Office Building,"St. Paul, MN 55155",651-296-8634,E-mail:  rep.jeff.brand@house.mn
Hunter Cantrell,56A,DFL,421 State Office Building,"St. Paul, MN 55155",651-296-4212,E-mail:  rep.hunter.cantrell@house.mn
Andrew Carlson,50B,DFL,557 State Office Building,"St. Paul, MN 55155",651-296-4218,E-mail:  rep.andrew.carlson@house.mn
Lyndon Carlson Sr.,45A,DFL,479 State Office Building,"St. Paul, MN 55155",651-296-4255,E-mail:  rep.lyndon.carlson@house.mn
Michelle,39B,DFL,577 State Office Building,"St. Paul, MN 55155",651-296-4244,E-mail:  rep.shelly.christensen@house.mn
Anne Claflin,54A,DFL,539 State Office Building,"St. Paul, MN 55155",651-296-4342,E-mail:  rep.anne.claflin@house.mn
John,19B,DFL,433 State Office Building,"St. Paul, MN 55155",651-296-3248,E-mail:  rep.jack.considine@house.mn
Brian Daniels,24B,R,231 State Office Building,"St. Paul, MN 55155",651-296-8237,E-mail:  rep.brian.daniels@house.mn
Kurt Daudt,31A,R,267 State Office Building,"St. Paul, MN 55155",651-296-5364,E-mail:  rep.kurt.daudt@house.mn
Greg Davids,28B,R,283 State Office Building,"St. Paul, MN 55155",651-296-9278,E-mail:  rep.greg.davids@house.mn
Jim Davnie,63A,DFL,443 State Office Building,"St. Paul, MN 55155",651-296-0173,E-mail:  rep.jim.davnie@house.mn
Raymond Dehn,59B,DFL,537 State Office Building,"St. Paul, MN 55155",651-296-8659,E-mail:  rep.raymond.dehn@house.mn
Lisa Demuth,13A,R,223 State Office Building,"St. Paul, MN 55155",651-296-4373,E-mail:  rep.lisa.demuth@house.mn
Bob Dettmer,39A,R,289 State Office Building,"St. Paul, MN 55155",651-296-4124,E-mail:  rep.bob.dettmer@house.mn
Steve Drazkowski,21B,R,327 State Office Building,"St. Paul, MN 55155",651-296-2273,E-mail:  rep.steve.drazkowski@house.mn
Rob Ecklund,03A,DFL,409 State Office Building,"St. Paul, MN 55155",651-296-2190,E-mail:  rep.rob.ecklund@house.mn
Heather Edelson,49A,DFL,549 State Office Building,"St. Paul, MN 55155",651-296-4363,E-mail:  rep.heather.edelson@house.mn
Steve Elkins,49B,DFL,515 State Office Building,"St. Paul, MN 55155",651-296-7803,E-mail:  rep.steve.elkins@house.mn
Sondra Erickson,15A,R,273 State Office Building,"St. Paul, MN 55155",651-296-6746,E-mail:  rep.sondra.erickson@house.mn
Dan Fabian,01A,R,287 State Office Building,"St. Paul, MN 55155",651-296-9635,E-mail:  rep.dan.fabian@house.mn
Peter Fischer,43A,DFL,551 State Office Building,"St. Paul, MN 55155",651-296-5363,E-mail:  rep.peter.fischer@house.mn
Mary Franson,08B,R,303 State Office Building,"St. Paul, MN 55155",651-296-3201,E-mail:  rep.mary.franson@house.mn
Mike Freiberg,45B,DFL,509 State Office Building,"St. Paul, MN 55155",651-296-4176,E-mail:  rep.mike.freiberg@house.mn
Pat Garofalo,58B,R,295 State Office Building,"St. Paul, MN 55155",651-296-1069,E-mail:  rep.pat.garofalo@house.mn
Aisha Gomez,62B,DFL,529 State Office Building,"St. Paul, MN 55155",651-296-7152,E-mail:  rep.aisha.gomez@house.mn
Steve Green,02B,R,315 State Office Building,"St. Paul, MN 55155",651-296-9918,E-mail:  rep.steve.green@house.mn
Matt Grossell,02A,R,227 State Office Building,"St. Paul, MN 55155",651-296-4265,E-mail:  rep.matt.grossell@house.mn
Glenn Gruenhagen,18B,R,291 State Office Building,"St. Paul, MN 55155",651-296-4229,E-mail:  rep.glenn.gruenhagen@house.mn
Bob Gunther,23A,R,277 State Office Building,"St. Paul, MN 55155",651-296-3240,E-mail:  rep.bob.gunther@house.mn
Barb Haley,21A,R,239 State Office Building,"St. Paul, MN 55155",651-296-8635,E-mail:  rep.barb.haley@house.mn
